"","idx","x","y"
"1072",152862,75.3957545607407,-74.6452821472599
"867",152504,91.782725228622,-54.8254825505917
"1377",153269,17.1808494024681,-5.12905232629827
"286",150758,87.9916385368706,-23.0668461449233
"114",149235,55.5786267318215,-12.7409564926134
"437",151394,66.0092319611031,-58.7602985805385
"975",152707,50.0951837136203,-25.3765031301446
"731",152221,15.0972698571644,-26.7968609425742
"419",151298,85.2139438971403,-36.3312815811678
"680",152111,47.3946773229489,-62.7499027632469
"170",149937,91.6055588863293,-69.0621249845485
"1285",153149,96.5031076177145,-90.456943686636
"108",149156,96.1204095665192,-79.7440854233001
"876",152521,89.8028398163041,-19.608933990701
"1007",152768,77.0373799475718,-18.7316516978029
"411",151268,79.9548807371997,-14.0427316876751
"342",151036,76.8185150139077,-61.3207598066461
"1357",153240,80.4981908512748,-63.8058813706251
"1024",152791,43.6398555447332,-71.5214030953291
"316",150878,64.1406885953235,-3.55988302297727
"169",149935,95.0496554200482,-19.586408913041
"1117",152931,38.0499227243613,-6.57013051849705
"1292",153158,76.87792626595,-15.0364101271707
"303",150828,2.18067686391397,-0.415375861455528
"1283",153146,92.3736974690616,-66.9461024329559
"1094",152892,72.1569075501681,-27.3027482538927
"69",148345,83.2272145407922,-53.9332373391694
"91",148887,67.6933320522016,-69.87819412628
"708",152160,68.1147288606901,-61.5514497415142
"1255",153111,83.4035704215384,-63.3766497076985
"499",151623,21.381486203513,-22.2735789631228
"640",152031,92.5715520962744,-16.6086103634966
"481",151575,41.0823604628572,-29.2101489879837
"1051",152824,74.1073407492963,-62.1222106417663
"55",147819,75.1077066787599,-0.853116760436947
"1119",152933,32.7648080560252,-34.081405272005
"1198",153043,74.8199463772354,-25.7450515328045
"421",151306,80.1591453574152,-29.1275795022683
"236",150424,58.0723197207987,-35.4894285653314
"368",151140,86.2275762462563,-64.679791904576
"1251",153106,64.8930822399538,-43.6500931053739
"1021",152788,77.1749148335835,-13.7042855424126
"325",150929,84.5227606954397,-65.844426288607
"181",150048,63.9740281019305,-47.7327667056438
"200",150177,35.4927936474255,-1.0831523467253
"1260",153116,51.4219884745515,-31.9185770126597
"1258",153114,22.4456837412711,-30.5409908651071
"1107",152911,66.8791504764429,-41.5809137502685
"229",150378,79.9816596546429,-11.5511846238888
"203",150220,75.8255956527583,-5.83246459709172
"1073",152863,68.08462414908,-76.6293460352702
"98",149031,64.1413246127003,-28.7603168252273
"928",152616,64.351642708974,-60.8844935566148
"655",152058,93.0187654858569,-24.3102471995442
"705",152156,38.9269064965835,-36.8700163128659
"1340",153218,72.1600357098961,-60.8910678814359
"428",151365,58.3816134392029,-45.0588479701789
"189",150091,63.8797302133206,-44.2533411989453
"1177",153021,88.905009954989,-1.01262368686749
"589",151919,59.2402036523452,-65.2410838627793
"888",152537,92.168799892088,-67.0001898030972
"397",151237,68.7077869080605,-60.4387543943715
"562",151848,70.825160021199,-5.42050110440203
"576",151881,82.5296723661583,-30.7983507547533
"219",150289,57.1560606004651,-17.4924634473297
"1330",153207,49.9038111339902,-40.6393725270169
"1104",152907,43.1381246714714,-3.76790347534825
"1296",153162,77.6510835037832,-63.0558876431628
"533",151742,89.1328729854625,-88.9811947577527
"1221",153070,75.3846421908529,-25.035052238223
"271",150646,19.0988451186071,-26.2825714365712
"456",151479,17.2346306514313,-2.46317389223736
"1368",153259,75.2136054465554,-24.671545719612
"675",152094,48.2414067016108,-3.78071453113561
"793",152360,72.4754006911524,-2.20270522706607
"993",152744,77.6353936271302,-66.3723566707501
"595",151932,66.4837365497089,-3.50276617156193
"1160",152988,44.85757830979,-33.8866354300233
