x,y
-122.093714,37.506531
-122.093714,37.506531
-122.093714,37.506531
-122.093714,37.506531
-122.093714,37.506531
-122.093714,37.506531
-121.7847986,37.9017901
-121.7847986,37.9017901
-121.7847986,37.9017901
-119.7192783,36.9871383
-115.6173,33.1658
-115.6173,33.1658
-115.6173,33.1658
-118.099737,37.432159
-118.099737,37.432159
-118.065594,37.426865
-118.172416,35.730572
-118.172416,35.730572
-120.794605,40.663347
-118.172416,35.730572
-120.20491,40.9338
-118.1367378,34.6980419
-118.1367378,34.6980419
-118.1367378,34.6980419
-118.1300507,34.1444969
-118.361187,34.2763939
-122.4905,38.01273
-122.4905,38.01273
-122.4905,38.01273
-122.462191,38.002903
-122.462191,38.002903
-121.604747,36.076973
-121.604747,36.076973
-121.604747,36.076973
-120.2399175,39.4319691
-120.2399175,39.4319691
-120.2399175,39.4319691
-121.36348,40.40624
-121.36348,40.40624
-121.36348,40.40624
-116.07019,33.54022
-116.06503,33.54065
-116.07019,33.54022
-117.34,33.67
-116.72612,33.73965
-116.72596,33.73975
-116.7259,33.74019
-117.111597,33.9780293
-121.438197,38.266562
-121.438197,38.266562
-121.438197,38.266562
-117.2868333,35.025
-117.2868333,35.025
-114.66,34.94
-114.66,34.94
-116.989,34.298
-116.989,34.298
-117.2608,32.8278
-117.2873,33.0694
-117.2456,33.0009
-119.8805381,34.4112762
-119.8793764,34.41038423
-119.8794215,34.40948175
-120.352,34.043
-120.353,34.042
-120.351,34.042
-120.349,34.042
-120.34,34.036
-120.351,34.038
-120.065,34.005
-120.055,34.003
-120.059,34.002
-120.059,34
-120.064,33.998
-120.064,33.998
-120.062,33.994
-120.062,33.994
-119.72,33.996
-119.72,33.996
-119.704,33.993
-119.72,33.995
-119.689,33.992
-119.698,33.992
-122.10715,37.458526
-122.10715,37.458526
-122.10715,37.458526
-121.949562,37.270265
-121.949562,37.270265
-121.949562,37.270265
-121.5684283,40.53373
-121.5684283,40.53373
-122.0391752,40.8587106
-122.731698,41.863175
-120.29,39.49
-122.626886,41.831882
-123.50631,41.43291
-124.35287,40.28401
-124.35287,40.28401
-124.35287,40.28401
-120.20491,40.9338
