idx,z,e,age,sex,x,y
77932,[],[0.0565990019494535],73,1,26.91918617855025,41.10285520299734
82105,[],[0.122119684097864],57,0,26.383513454720404,1.0517018169633687
85489,[],[0.100629894781353],45,0,55.60458880134005,28.136025904961954
85851,[],[0.151581503506245],43,0,65.64659408523444,71.55627737241572
86062,[],[0.146960567747199],42,0,81.9614334772703,51.82816656072494
86220,[],[0.116993867524449],42,1,48.52056854210592,47.521823110920856
87144,[],[0.0849224387000654],39,0,41.03062489489037,48.00737034543622
87550,[],[0.192442971172532],38,1,63.09740377137879,5.918070281043343
87674,[],[0.108346437133803],37,1,99.94495962606356,99.999
88016,[],[0.110655421234145],36,0,52.54105228186066,0.0
88192,[],[0.343934816648284],35,0,85.03566303298355,0.5644626645018644
88211,[],[0.100812317688714],35,0,97.62868445397605,93.78119262467017
88253,[],[0.317200290385189],35,0,72.24954158744943,6.359854434367991
88701,[],[0.17210131260945],33,1,17.57470285718883,10.179972263609919
88848,[],[0.15128634165916],33,1,65.49323322800261,70.30591228974244
88886,[],[0.134297510129362],33,1,99.999,73.82330030005201
89014,[],[0.172660839867292],32,0,69.85710999465167,47.15470743897715
89201,[],[0.131321506452017],31,0,59.50392489499911,1.3004778148719687
89285,[],[0.185606090570839],31,0,94.62434062703062,27.04586625109109
89759,[],[0.382549758841787],29,0,14.46284244648477,6.864166344844975
89822,[],[0.0849224387000654],29,0,41.98209011531184,48.309185463277515
89865,[],[0.145939825155347],29,0,95.18420811909729,11.57759211528252
89917,[],[0.393174305382884],29,0,15.943250353197019,10.507362720863007
90091,[],[0.107685731301764],28,1,85.96179608330208,52.597651536929234
90143,[],[0.496857519078881],28,1,67.529924707585,43.21186366084799
90288,[],[0.456252902154146],27,0,70.57145372882272,59.11829933831784
90296,[],[0.263139778280111],27,1,71.14403884083808,10.828356582805219
90506,[],[0.0686091254927037],27,1,9.3401459463437,22.900876528289906
90675,[],[0.145485917465432],26,0,90.0407785500834,23.340438615882377
90702,[],[0.455924673738444],26,1,67.47013162939358,1.251126822328624
90921,[],[0.182531982590099],25,1,83.20354090640737,33.3028694951232
91042,[],[0.0976885512897145],25,0,29.757655684170512,3.747771189542957
91047,[],[0.0902786864259044],25,1,31.552305834991028,30.007098800608016
91097,[],[0.16325683003306],24,0,77.80368884472314,51.990123083948006
91122,[],[0.0741088266626584],24,1,90.54159076011577,56.51130749890165
91136,[],[0.215470525151521],24,0,47.352358133390766,23.728364547250656
91233,[],[0.444876700271394],24,0,73.07287541880603,62.02255375679377
91275,[],[0.11187904322537],24,1,92.14192391560996,99.27765491933036
91636,[],[0.119796434315361],23,1,60.18976296440438,32.21172636982258
91644,[],[0.108228504259993],23,0,54.044561702446465,29.633640220554625
91672,[],[0.582388183480279],22,0,78.35852969326645,23.983993801695394
91743,[],[0.142144294643045],22,0,43.310901887992955,0.996551094618553
91764,[],[0.106624662569891],22,0,42.944920519075076,27.84174931298504
91818,[],[0.632353646024576],22,0,87.0415750101278,65.93611560374123
91858,[],[0.12635959527536],22,0,99.999,42.025622475718706
91869,[],[0.718169399630757],22,1,78.97766895045659,8.70873517654915
91897,[],[0.311330694800735],22,1,61.34705678745285,65.98315064080502
92033,[],[0.551410572349206],21,0,55.03167605969844,63.0730171139085
92123,[],[0.436343936937158],21,0,68.91467221170258,62.946980813307775
92213,[],[0.150013720351546],21,1,93.80056937379055,42.28759683413423
92270,[],[0.413580155273983],21,0,63.25580107924542,53.2847221940482
92301,[],[0.133914134004499],20,0,65.0068919892042,25.084093426086447
92302,[],[0.110186099959177],20,0,44.914000509839695,62.418116939368765
92361,[],[0.626611570169058],20,0,73.41045913346217,23.739254669051814
92399,[],[0.242385312985773],20,1,58.426622948125235,15.556393752310786
92476,[],[0.142550692079284],20,0,73.43471647062911,52.78502958192726
92545,[],[0.192402150761919],19,0,62.68394132301651,58.93726025276561
92561,[],[0.456252902154146],19,1,70.47664818566145,59.45486551217135
92576,[],[0.0652727204919158],19,0,9.715582082241657,28.737954502055825
92650,[],[0.365942979577499],19,0,98.52123918098812,0.0
92766,[],[0.323674916632425],19,1,86.5247664172852,63.187900834685074
92822,[],[0.682372892829408],18,0,70.46656557280387,33.95100281794262
92835,[],[0.0936374136004278],18,1,49.32039980737032,9.321468969579342
92843,[],[0.472785160117836],18,0,51.713673423130224,61.834306018484085
92912,[],[0.291097331504673],18,0,99.48814830419015,15.591958211027404
92917,[],[0.0525778839148405],18,0,65.0967641753781,75.46793363278105
92947,[],[0.112149223496714],18,1,29.935108833776578,32.25419734823585
92949,[],[0.121890669378206],18,0,32.80025120806946,20.237449326559187
92961,[],[0.145920411528144],18,0,94.90225992055072,47.524115847877404
92965,[],[0.188480910316041],18,1,53.60198280280307,72.13787236909482
92970,[],[0.526090495519565],18,0,70.25883405089016,61.911044130779814
92986,[],[0.166287895245923],18,0,89.46507761734233,20.026926120183518
93020,[],[0.727350228358731],18,1,70.48237775346668,2.831696925225435
93116,[],[0.221266343296992],17,1,13.6277133368354,11.65991237845746
93128,[],[0.220972225058876],17,0,46.92307763746276,7.512263885587913
93135,[],[0.0738291977265664],17,1,55.8108540213563,29.857131205744366
93165,[],[0.140278100344197],17,1,93.77461789656894,24.643838551257215
93179,[],[0.342013356914276],17,0,71.40851152976227,24.8632579333676
93225,[],[0.152057389940389],17,0,22.835140940719402,21.954713626018183
93257,[],[0.527305088775122],17,0,69.59629292064274,28.783834603267625
93267,[],[0.171639949783071],17,0,57.84387519887713,13.277595196785272
93301,[],[0.467792563384584],17,0,16.14482426643654,0.0
93312,[],[0.236309328100302],17,0,77.45128626489135,31.0137914122642
93316,[],[0.433480101875867],17,1,92.86727450637059,67.70131583109908
93317,[],[0.799224552027741],17,1,72.56965616315134,3.853896986814435
93347,[],[0.118320467467002],17,1,97.30318727855169,62.57490120910187
93352,[],[0.472532185850787],17,1,63.514437418479424,43.21471382456423
93365,[],[0.0932318595943128],17,1,32.197297381317654,42.6879344427915
93388,[],[0.36925365370857],16,0,80.02001518606441,7.429528859762287
93398,[],[0.144702197491212],16,1,57.55661498305036,11.334171565878846
93410,[],[0.110705052341759],16,1,51.72503197454718,29.34856056838321
93430,[],[0.469486077606983],16,1,99.90977869339217,60.34885013439663
93465,[],[0.709489837186714],16,1,76.49285333800266,15.098912644352096
93469,[],[0.643932553619926],16,0,68.09295577899886,36.673298963399546
93507,[],[0.135627475457827],16,0,39.65143295751933,55.83251559977711
93617,[],[0.0601690804137565],16,0,43.83098628954767,54.413754482655825
93630,[],[0.538817705471472],16,0,63.01219618713829,60.23480104925862
93712,[],[0.367809799565467],15,1,71.39391672697913,38.485170550215905
93728,[],[0.118983365071358],15,1,59.73506713272506,53.872809614611946
93736,[],[0.56535903310322],15,0,45.58264311752546,64.84428801761175
93739,[],[0.763431564802106],15,0,77.62854266853114,14.439099724336344
93750,[],[0.21074308754931],15,0,56.47587792845656,69.84153517338459
93761,[],[0.536188825306848],15,1,76.37889155251264,26.774197747302907
93785,[],[0.513352315469268],15,1,71.23762679277048,2.69058583895863
93800,[],[0.186631278026049],15,0,45.256773025353205,9.22481550373243
93817,[],[0.165055915750696],15,0,73.24008457929652,57.38524105475323
93841,[],[0.156720265027937],15,1,93.04277874348607,16.615922444577876
93880,[],[0.0806620619518125],15,0,25.02091440268367,12.122298849342574
93896,[],[0.129585951397792],15,0,98.33539299747099,45.08283694568325
93898,[],[0.149118082394115],15,1,25.891970239556464,17.105584871435997
93914,[],[0.104852922324354],15,0,84.658712800627,87.81648093224298
93942,[],[0.103285816503429],15,0,90.11422522633092,88.68967859737155
93965,[],[0.136717075256358],14,1,68.71372633525712,20.307773061213183
93975,[],[0.153703169321842],14,0,81.11213750213257,33.117679340697535
93977,[],[0.146492906207873],14,0,98.72653405978953,34.15017529990799
93983,[],[0.274926083958793],14,0,74.5000884400793,1.8941073382597915
93992,[],[0.15849521379061],14,1,24.37665727694202,20.046721466016272
93995,[],[0.601731579907923],14,1,75.6310082323892,18.674322265740354
93998,[],[0.429910069781811],14,1,17.48037898872654,3.025538246885902
94013,[],[0.285595392871022],14,0,80.46802140513553,49.10116226259309
94015,[],[0.346526221547075],14,1,83.66349922588975,16.25745074467067
94031,[],[0.232145662142782],14,1,47.423447672303475,14.41903820615935
94046,[],[0.0443617682839516],14,0,98.50604025579516,96.62848991670997
94055,[],[0.144120840320996],14,0,64.31588537444559,47.18798284613707
94061,[],[0.168860944414338],14,1,72.45532220455459,49.61234214313282
94090,[],[0.0859472463735885],14,0,26.890488003756996,7.869631233626546
94093,[],[0.118393060055586],14,0,57.14058366964301,34.75202108571889
94112,[],[0.0844612221009849],14,0,95.04697458586263,78.42046571305113
94142,[],[0.175627517145257],14,1,93.16190203758109,31.406055983559618
94158,[],[0.367752793690592],14,0,99.29440350387979,62.6996763844918
94173,[],[0.752309485275336],14,0,78.15954454822983,16.053446100674094
94179,[],[0.221928136345733],14,1,76.5280114100172,59.85304088455159
94192,[],[0.146960567747199],14,0,81.38303149671077,51.3969704726887
94210,[],[0.666081629359071],14,0,69.52323401841407,34.76433333893685
94219,[],[0.370504806616386],14,0,15.14405579902115,13.060339114319238
94237,[],[0.50214995068181],13,1,87.61480690732321,66.6623771638392
94249,[],[0.130623570926705],13,1,93.96278453591312,86.28528529153584
94292,[],[0.504848578216441],13,0,83.21721934607115,65.10730699175957
94296,[],[0.163895591352196],13,0,88.22565789105614,26.438293953552943
94314,[],[0.0835815891119839],13,1,59.625814969943725,25.227082453717596
94321,[],[0.130082628004969],13,0,67.01955072360545,55.22519418159709
94325,[],[0.562145580702642],13,0,79.38537934570118,9.884911752870691
94326,[],[0.140230234084723],13,1,39.10004250328948,0.6391230386628366
94341,[],[0.601500464277796],13,0,79.84555410083607,17.11918941599446
94364,[],[0.588066269972608],13,1,75.05269578010365,62.70915734598244
94397,[],[0.213856910715305],13,1,42.852957491303776,32.857402195754176
94401,[],[0.776443889855539],13,1,70.58275454161843,32.40266451867468
94404,[],[0.14630418339691],13,0,97.22663072156661,11.34419221279757
94405,[],[0.0714705085863865],13,0,8.642857104567723,27.97621680484577
94413,[],[0.226610418958378],13,0,80.03002497027205,27.752798727679867
94446,[],[0.448434133153574],13,0,16.598228280945747,2.7024583678155074
94460,[],[0.284089031134682],13,1,43.48832545744129,69.6235347307216
94465,[],[0.0565990019494535],13,0,26.69691181368517,41.513182732283404
94467,[],[0.611554674052234],13,1,69.08450022670677,60.44896344801589
94470,[],[0.195241826841132],13,0,47.424002617561364,6.786735737588982
94480,[],[0.68125671463816],13,0,67.14538108835276,37.264077616807306
94505,[],[0.679291198293677],13,0,76.6902625397522,17.18289321236529
94515,[],[0.176224338987061],13,0,70.74634417977182,17.62260129198681
94529,[],[0.600920793967828],12,0,65.9509333493258,42.885367333494614
94539,[],[0.502004332999271],12,1,79.9414076209833,10.800245229887166
94542,[],[0.152490081798165],12,1,89.56682903795777,24.583792976949944
