idx,z,e,age,sex,x,y
30152,[],[0.110973754266284],46,1,38.47083622156044,74.6157848146647
31400,[],[0.228308480291619],41,1,49.40143007180364,65.1028616084285
31573,[],[0.192402150761919],40,0,62.673468256066485,58.89023741144662
32162,[],[0.0506972627407042],38,1,55.28435965236581,74.19172787524184
32555,[],[0.620459922144996],37,1,69.55424727282202,30.803847883891482
32712,[],[0.14283728805777],36,1,69.92967207958064,49.70236251981693
32899,[],[0.120541350318057],36,0,45.38937601339144,67.23979389443474
33019,[],[0.789624940225363],35,1,78.59963433849123,14.11165674195192
33144,[],[0.0897332284293825],35,0,59.02708227734032,36.32785897937208
33544,[],[0.209391125467961],33,1,47.91050010045159,4.752987121466396
33799,[],[0.204232231163541],32,0,49.82840710103468,15.435381547089746
33823,[],[0.0992233568028306],32,1,86.40298067097393,89.64012626914072
33906,[],[0.166026448874344],32,1,86.9457514020079,2.2243425250050177
33960,[],[0.281700415591992],32,0,71.87998843794541,77.54880172385823
34083,[],[0.624782089712271],31,1,82.81687503197801,63.17550964796409
34228,[],[0.132521453462358],31,0,12.341325593713465,25.272612270815163
34303,[],[0.152407366410944],31,0,64.98650096349354,70.67733014726461
34457,[],[0.331058511408707],30,1,42.945498151736714,71.95214089963028
34464,[],[0.125353736017869],30,1,95.41744606341791,18.970350690905978
34556,[],[0.222404363455995],30,0,90.45756433026743,0.6792404191515189
34646,[],[0.103245635920961],29,0,52.078765315322904,4.3683291758461875
34767,[],[0.0783489785012647],29,0,27.08292362377419,8.459831169586378
34956,[],[0.63797872813529],28,1,67.56930059249099,2.52361168626054
34978,[],[0.157408817151268],28,1,65.9075705068542,14.131195910638162
35047,[],[0.77214677247549],28,0,72.95171252882122,0.7362498368431382
35060,[],[0.255547621853052],28,1,61.47660432712053,44.824281079995195
35084,[],[0.109174747578363],28,0,87.58834113727296,53.055878607366644
35086,[],[0.130944977931983],28,1,43.6109938876433,4.727617668073065
35166,[],[0.500076586607695],27,1,85.72188837042718,64.75608072655136
35298,[],[0.362783301168058],27,1,44.280037123704744,65.58315577749698
35343,[],[0.264377213951153],27,0,36.25966601330724,4.067554027636843
35409,[],[0.228642806943759],27,1,73.00658887783739,81.39114775910201
35536,[],[0.548052917359368],26,1,67.27061440406338,35.35757475213247
35537,[],[0.164939989427959],26,0,98.53765359517143,25.671784030185158
35664,[],[0.0930191671153924],26,1,42.956988481134815,48.063500722523884
35789,[],[0.367752793690592],25,1,99.39338265911611,62.53647131278037
35950,[],[0.214706481939224],25,1,99.71356693480577,84.45819510594549
36011,[],[0.207461344247261],24,1,69.5993095428207,14.979992628637596
36148,[],[0.836640593498845],24,0,72.04076058057393,28.908974222162858
36180,[],[0.393174305382884],24,0,15.822499763418397,10.34434833185677
36200,[],[0.191276287784183],24,1,99.999,71.76628324652478
36297,[],[0.386606493129744],24,0,67.83099700766708,45.379123354247255
36353,[],[0.22488430639238],23,1,46.68222514702295,22.528659466427307
36388,[],[0.158872662389172],23,0,58.64372352347209,46.46855992444871
36406,[],[0.0938530508664368],23,1,47.881964955580386,49.61830214896628
36527,[],[0.237354263607894],23,0,56.72028995717861,14.000115241556752
36579,[],[0.151186417323565],23,1,91.62378175025498,54.72217487193837
36630,[],[0.0601690804137565],22,0,43.22016233504016,54.794563816813024
36634,[],[0.171214475228454],22,0,71.59196385785111,70.15303170388586
36723,[],[0.0649937956607273],22,0,6.44994939740152,26.079429079856567
36784,[],[0.453513224412517],22,0,99.22073252271765,59.82936267978715
36789,[],[0.147212312067796],22,1,64.90696463116905,15.638148039154242
36804,[],[0.231382233754879],22,0,52.57971414998203,24.356018452938805
36870,[],[0.0997532857207799],22,1,44.94822446212574,16.266357608366047
36898,[],[0.10983205111419],22,1,55.02833869113415,2.609889281395588
36919,[],[0.245293073685506],21,1,45.79174899377699,22.51935329317336
36961,[],[0.524455817803862],21,0,15.03979374598181,2.1367226730390216
37030,[],[0.387098372290898],21,0,16.815828155494884,3.366380363681808
37086,[],[0.236703429792816],21,1,66.9130050000611,34.317382117956335
37088,[],[0.151411443465776],21,0,86.07139136349357,48.52681608474049
37100,[],[0.124212062632146],21,1,25.70450917414801,14.11671235303294
37143,[],[0.251293842225617],21,1,62.92291666274754,54.826382932718126
37237,[],[0.15325178239706],20,0,65.9383123372704,7.315557701783644
37259,[],[0.41376208614323],20,0,67.5768557275849,44.260217818498674
37262,[],[0.705799687664875],20,1,71.13785412162146,60.52539579301471
37282,[],[0.207730083677413],20,1,69.81604550572618,15.898029233594588
37310,[],[0.17210131260945],20,0,17.283272312410777,10.088436847839393
37319,[],[0.857982361200689],20,0,76.34574916142063,18.23075568073617
37320,[],[0.491206741446014],20,1,82.17360078340691,15.937665917433858
37426,[],[0.359873891560201],20,0,13.52067924944215,1.0841224048963392
37431,[],[0.470130401665542],20,1,69.39602589411477,0.9270649799372105
37469,[],[0.184917783573574],20,0,63.65581928981213,52.59539927005741
37476,[],[0.165707434936467],20,0,73.83974261529782,49.210699334324524
37479,[],[0.145857424101004],20,1,52.50240097713636,73.81929200666728
37495,[],[0.570087480678401],19,1,81.64786495349327,64.55386883621993
37547,[],[0.513352315469268],19,1,71.75753138562777,2.645445095599812
37572,[],[0.217555178717186],19,0,19.713830241657227,28.01935152644152
37619,[],[0.202846758994648],19,1,83.16535083326745,0.3555814786707031
37643,[],[0.218578328961961],19,0,86.47772330515706,34.775075993276445
37730,[],[0.162362700635314],19,1,74.45317291291819,49.6136058166675
37748,[],[0.0483860526953353],19,0,83.72860354435093,94.0226251890829
37823,[],[0.139216024318327],18,0,95.94772605202513,28.169908920647682
37833,[],[0.620459922144996],18,1,69.03331688276852,30.053372474705668
37849,[],[0.190952306731968],18,1,61.461390113721556,70.76373915511316
37862,[],[0.567878635561747],18,0,96.34089045280807,0.11621472796228871
37887,[],[0.455924673738444],18,1,67.22528911017173,1.2263112391528395
37913,[],[0.213856910715305],18,1,42.674692885605445,32.1007338929341
37920,[],[0.271540255396413],18,1,39.71782902492432,35.221238381310144
37984,[],[0.181853485844575],18,1,83.76106193345518,32.350449481194126
38015,[],[0.179258822718808],18,1,76.85507408161772,42.32138419094499
38021,[],[0.472677164151676],18,1,65.41791508508057,1.9231282464434496
38041,[],[0.16988073641713],17,0,79.34981767862187,43.71239369212305
38048,[],[0.169521778390604],17,1,79.96768510201815,3.801279014647226
38075,[],[0.157408817151268],17,1,65.26316975345497,14.336061878528271
38077,[],[0.171372018509893],17,1,87.66735182510341,10.521095776877443
38079,[],[0.58889078059107],17,0,76.19079491857316,23.22723758718169
38081,[],[0.234229963125782],17,1,39.099845066778286,33.91863703913353
38093,[],[0.111073128551899],17,0,24.845496887110738,15.369706827757607
38145,[],[0.399312684749384],17,0,68.88012948909949,31.69266471478388
38185,[],[0.139369924940109],17,1,92.13498739031498,23.009907071095675
38189,[],[0.427020457638512],17,1,79.4247726447216,6.732345916336086
38218,[],[0.595023868687451],17,1,75.94602940755331,23.88139933081311
38249,[],[0.145857424101004],17,0,52.46769380167384,73.22627728005585
38260,[],[0.620459922144996],17,1,69.56142862935346,30.98979133278484
38263,[],[0.0980601673167005],17,1,81.03680036256551,99.4564484413019
38281,[],[0.684950528400276],17,1,75.71216282927037,21.55914958773541
38297,[],[0.0915415355083163],17,0,91.50770741624486,81.38040586405721
38307,[],[0.591653672530159],17,1,67.09001142044767,60.40108533035942
38308,[],[0.0934766579322236],17,0,96.94750644943915,56.27986705278502
38338,[],[0.288763799226953],16,1,85.23037724382847,41.73377748210498
38348,[],[0.126161888527116],16,1,39.75930818957836,56.132057125143334
38362,[],[0.10271528164157],16,0,23.35740680352112,3.8047565278445488
38377,[],[0.158123682746613],16,1,87.16020104874298,6.661899813713775
38419,[],[0.197638925204245],16,1,64.32050047127395,5.4954587692973895
38425,[],[0.466285988521026],16,0,94.20309905825472,0.8025161923299282
38453,[],[0.466285988521026],16,0,94.73785684713634,0.0
38494,[],[0.187151619791208],16,0,39.32782859424462,3.468508925337093
38496,[],[0.829943776770179],16,1,72.41240691117856,29.83575443429631
38500,[],[0.582388183480279],16,1,78.3941062843328,23.22295646498186
38538,[],[0.502004332999271],16,1,79.45434301907707,10.759972844540979
38618,[],[0.132888794443133],15,1,95.10757740811302,31.791338106724627
38621,[],[0.140311253979449],15,0,97.36352067785383,83.1398064308619
38626,[],[0.12369044969411],15,1,56.875832729713395,41.310644945496435
38633,[],[0.621810189031512],15,1,92.64845758837224,68.43767109058987
38652,[],[0.249214089395282],15,1,80.65535291654993,21.462196162833976
38655,[],[0.284798732859976],15,0,84.66298557666084,45.273200016422905
38675,[],[0.132277914986102],15,1,59.294721778961616,52.42405310205983
38684,[],[0.0772798566637416],15,1,54.40761474423797,35.341660221848656
38686,[],[0.128278220060188],15,1,79.02498054033526,56.89776402806646
38691,[],[0.687001980258],15,1,77.7842477552164,15.495845685263715
38693,[],[0.50214995068181],15,1,87.75129505406888,66.65337902210867
38694,[],[0.243245161644627],15,0,40.857381835907226,35.48374934683809
38701,[],[0.645702753753424],15,1,98.07353317793033,1.2995570536741263
38723,[],[0.438753253204936],15,1,63.3658279908612,59.28161122356221
38760,[],[0.251982493768627],15,1,36.36837801307035,2.2316921973372352
38774,[],[0.492383784126819],15,1,79.64255828353386,11.070789390230898
38780,[],[0.398118032283462],15,1,57.831679437268576,62.31993419867324
38784,[],[0.68125671463816],15,0,67.54684674932795,37.493353124765655
38788,[],[0.233106786563034],15,1,51.29355359412379,65.27316943268009
38793,[],[0.130628468536567],15,0,90.28293331004909,85.85884173505009
38797,[],[0.472644861685805],15,0,72.84347796917751,32.439326660574075
38854,[],[0.205204779917006],15,0,85.24050723966388,40.110764700842275
38861,[],[0.107778523945075],15,1,91.97031501982349,87.06240085950101
38883,[],[0.611418577441141],14,0,72.07251856828394,31.227729886423944
38891,[],[0.116223855112932],14,0,92.3366910518184,48.70778533935328
38909,[],[0.460491906052652],14,0,77.88214736680385,26.612904528257165
38913,[],[0.139471854966343],14,0,55.85579602651396,50.08855877225762
38927,[],[0.16332570971335],14,0,86.94824804919261,5.582595996325274
38931,[],[0.554627343700157],14,1,99.5067934536376,1.7295642217330633
38944,[],[0.425282301449952],14,1,45.50305919153189,62.98587373807878
38948,[],[0.728608100429486],14,1,79.3927887127485,15.955403954602028
38952,[],[0.109809208698704],14,1,94.72507362320114,83.74967883053989
38966,[],[0.136990118754934],14,1,99.44772121855553,76.26981943207959
38974,[],[0.208597871920419],14,0,47.479420431093956,5.718335022892175
38986,[],[0.499341881130713],14,0,63.39342305608958,44.75317738105312
39007,[],[0.24294410575841],14,1,42.532405555290644,35.878317411704714
39010,[],[0.256769089056677],14,0,48.6007175703391,60.510665787980976
39032,[],[0.214244835290498],14,1,81.47276958104365,50.91588437400357
39046,[],[0.641678351697709],14,1,78.90954397140139,5.964567331294623
39098,[],[0.133554701948514],14,0,97.49442224745273,30.23995116803845
39113,[],[0.352696500342782],14,0,93.40222001782683,40.35029082709907
39126,[],[0.124261447571871],14,0,59.431312248310334,12.419700560602559
39175,[],[0.166153690585375],13,0,57.55208566748338,9.43460436603292
39190,[],[0.368104749773654],13,1,15.152689182284833,5.739053919295933
39192,[],[0.53381597165296],13,0,78.58818137524042,24.03625181147486
39204,[],[0.134041787830937],13,0,95.67593511084223,47.37960450371351
39205,[],[0.467967454507076],13,0,84.24078654247919,65.42686415496267
39229,[],[0.199064603405853],13,1,68.1435212316096,58.788635615411486
39255,[],[0.459651737132359],13,1,60.23470962152924,65.32960409184548
39282,[],[0.705432707601349],13,0,76.97886993392974,11.589701617779742
39286,[],[0.3527716907914],13,0,52.934395029991926,63.155594085286126
39293,[],[0.179476954555544],13,1,82.71022383504041,31.853705979096638
39298,[],[0.679291198293677],13,1,76.33151737336709,17.511119719997936
39299,[],[0.299590400490114],13,0,67.99358236562004,46.47691134359331
39326,[],[0.097808361751795],13,1,41.431555862691596,26.114094905316904
39348,[],[0.919254002323471],13,0,76.01928502863063,19.855632557134626
39352,[],[0.137972893596343],13,1,95.2551329274428,46.41423607851071
39381,[],[0.172961664450202],13,1,44.62431442040006,73.02706626675611
39383,[],[0.0686091254927037],13,0,9.011956140255387,22.832896846846268
39397,[],[0.771295938859775],13,1,74.7313069335235,4.1883481509458065
39426,[],[0.113029310013586],13,0,44.89531624048534,18.684976606339834
39440,[],[0.173205605832894],13,0,86.76188681262298,18.758610970488828
39462,[],[0.154981049007735],12,0,33.080596932601075,4.5941589768682976
39486,[],[0.179995599042225],12,0,17.95651616943643,23.832570630286636
39487,[],[0.11187904322537],12,0,92.46724584029207,99.53549569455791
39490,[],[0.137416634834875],12,1,50.527695770219125,3.1424078705089937
39492,[],[0.196908189370507],12,0,73.13277770758035,45.76944197273621
39494,[],[0.112616771923829],12,1,83.69419903816741,98.8089837526806
39499,[],[0.429226642236921],12,1,59.98069334782207,62.058017665205
39515,[],[0.495607198141135],12,0,71.4228481241624,34.566300634918605
39524,[],[0.673649402960941],12,1,78.5234979685781,19.983330656302613
39526,[],[0.0915361636457475],12,1,57.91648295195049,27.637597062946565
39534,[],[0.174107436683824],12,1,96.72692842260159,13.640025701770952
39536,[],[0.241697352022572],12,0,91.17643360742,37.32823743815073
39543,[],[0.507267357213578],12,1,81.63386944364079,13.740668172533631
39561,[],[0.258388090015399],12,0,73.95138400691732,78.0554595918367
39563,[],[0.133914134004499],12,0,65.37185098241734,25.911460900189212
39567,[],[0.0882915817975651],12,0,32.440001794650016,38.71120329915123
39569,[],[0.381217430956451],12,0,75.96312522990691,17.769097085902633
39595,[],[0.289237832555667],12,0,20.673100629745008,29.547553838330927
39605,[],[0.31713991733842],12,1,74.96148598592859,78.69281137293258
39614,[],[0.26087286909409],12,0,80.83903976357472,25.46410595203129
39639,[],[0.136990118754934],12,0,99.999,76.43935737422565
39658,[],[0.152338525575768],12,0,30.000818830353328,0.8691095460009659
39660,[],[0.29163975128491],12,0,72.7097858388231,61.16820597489631
39662,[],[0.0774313613903168],12,1,34.267835041407054,28.223252738330725
39665,[],[0.642004044018597],12,0,68.2684139813601,60.796921293729504
39681,[],[0.139105916949052],12,1,64.88235805815026,72.8004884468198
39685,[],[0.789624940225363],12,1,78.46522703237326,14.828488237217453
39699,[],[0.595477699282465],12,0,71.098493060221,3.4511297633343734
39723,[],[0.403714553561147],12,0,73.43446637500033,75.82086980834208
39733,[],[0.697604192495566],12,0,76.87459083204416,5.104784730101938
39744,[],[0.763431564802106],12,1,77.90357193651822,14.312622745177332
39747,[],[0.174738711462975],12,1,87.82856777127448,46.27198672819279
