idx,z,e,age,sex,x,y
105053,[],[0.169425157940807],74,0,98.39920323262545,60.57279127132352
109767,[],[0.0932938204537303],57,0,34.79192294856138,45.641233201317945
112616,[],[0.150168066278239],47,0,47.91978984517808,57.32820698049713
113848,[],[0.0632017723308922],42,1,27.924667055578617,9.18152392683465
113964,[],[0.0897902370204392],42,1,7.684257386980194,22.129895589288306
114039,[],[0.55792448961091],42,0,74.65890413673796,20.778509458953074
115233,[],[0.118397043540193],37,0,58.411693985327645,31.509822883065564
115305,[],[0.175406569707484],37,1,98.77753982399508,83.9268013699998
115733,[],[0.178450607997845],36,0,68.63901347537681,12.2601607742719
116452,[],[0.12579290771696],33,1,71.52018172625492,51.219401104541085
116844,[],[0.180513282075122],31,0,75.39985512896821,47.97164742783002
117193,[],[0.140217314586693],30,1,96.26849169727012,30.10331222769367
117444,[],[0.172897032152002],29,1,91.00920323268882,30.250519287670247
117498,[],[0.0842873993679663],29,1,41.79230213575559,46.633348000478236
117516,[],[0.0738056708705863],29,0,86.94405591552484,83.51819858775345
117805,[],[0.168182119345741],28,1,87.3203475980455,13.222510679752332
117993,[],[0.107545214533401],27,1,34.6268451933651,21.698137730491734
118027,[],[0.201853398041036],27,1,90.19922018402272,52.41543425231498
118109,[],[0.115425238632733],26,1,67.0522976674314,19.762241800820522
118136,[],[0.162172556033638],26,1,88.68059500062645,6.805416870573358
118140,[],[0.0943673205895641],26,1,94.38474961932236,90.39574253845399
118209,[],[0.227580323416269],26,0,73.3228573942978,69.99772569529414
118370,[],[0.502004332999271],25,1,79.3830575829789,10.299255996798585
118486,[],[0.120780847944328],25,0,42.30152823948823,62.03159833937465
118640,[],[0.265859317285737],24,0,99.41506911670201,14.097863641595746
118698,[],[0.126570417086691],24,0,69.56302586331064,51.397273017736616
118761,[],[0.103565578978903],24,0,55.60651097813336,36.34487287017582
118771,[],[0.826447681960519],24,0,78.49342475517804,15.386251558722996
118791,[],[0.165984375299509],24,1,28.79151970579228,26.296145741709605
118880,[],[0.308286658891683],23,1,91.02426788982667,39.52144463551144
118895,[],[0.462240887526206],23,1,91.11590381689858,67.04283527430172
118900,[],[0.151244222839442],23,0,55.67148732462199,9.65232063173193
118924,[],[0.153874541910443],23,0,92.099456857782,24.787983360206482
118980,[],[0.480008099836248],23,0,75.66712213507466,7.877142189059762
119051,[],[0.554627343700157],23,1,99.999,1.0618440697283225
119108,[],[0.100893624233593],23,0,9.699408284608241,23.996183555094195
119256,[],[0.44898358107168],22,0,73.94486083810044,33.22523931310244
119282,[],[0.1801974075964],22,1,60.65482223416339,59.5100545380656
119346,[],[0.108139789460685],22,0,54.27875080671859,41.49755203149317
119426,[],[0.0860622125122623],21,0,96.44248402317419,53.85392780886169
119428,[],[0.448109623152945],21,1,65.49507358955559,39.02888085116125
119527,[],[0.26636389686443],21,1,90.84719511400903,39.5818484914962
119584,[],[0.0849153628987935],21,0,41.97923432487028,57.88423838818132
119602,[],[0.18988316268129],21,0,86.93404909113589,32.63767695143383
119611,[],[0.139369924940109],21,1,92.79385417315845,23.962867097485784
119660,[],[0.0975660119211514],20,0,57.90877409520059,35.33879974304903
119669,[],[0.0928785430392616],20,0,37.96586450388686,16.97106672487146
119746,[],[0.153523304982906],20,1,98.20542783638479,41.197711538771784
119775,[],[0.0894488411528372],20,0,45.13505270297093,39.95846569836733
119802,[],[0.530565872682318],20,0,69.3549326918464,59.43273638255313
119809,[],[0.60072101399184],20,0,72.73053300246023,4.682417360512549
119924,[],[0.471912938769189],19,1,76.63095625480732,60.07800211234769
119945,[],[0.611554674052234],19,1,69.89119122990228,60.473210763400985
119952,[],[0.631721552372556],19,1,67.58766413939829,39.99715025629648
119969,[],[0.156080204406704],19,1,7.094894800966331,2.811017677874575
120045,[],[0.551570960105064],19,1,54.505030920222744,61.38111632353851
120058,[],[0.652343291799659],19,0,80.64765860650789,17.72606166905515
120060,[],[0.275675045443866],19,1,51.757996779758244,60.72061204163701
120094,[],[0.168710106603306],19,0,64.20893602191497,27.97776526522935
120126,[],[0.0965178230980345],19,1,57.793691501812795,30.885333553889108
120168,[],[0.138489780527645],19,1,57.772538323382186,41.834937042245215
120186,[],[0.631721552372556],18,0,67.87377416346045,39.432469438213175
120247,[],[0.246532848993313],18,1,38.631401670328486,33.0731033889404
120250,[],[0.166016921551959],18,0,87.91297699008335,7.709709888483068
120303,[],[0.344103337172042],18,0,75.65434120912656,15.677232328729433
120350,[],[0.416970272277441],18,1,49.370375390826936,61.67431782804215
120388,[],[0.105535183027498],18,0,40.788479396420925,65.06402433001959
120393,[],[0.218752906346902],18,1,86.73842052862882,0.0
120442,[],[0.493443207969027],18,1,75.6174629377517,60.07513935539795
120465,[],[0.483450668162146],17,1,66.39647025413028,59.987497659854924
120484,[],[0.188489105295657],17,1,84.56905555900202,34.29825672807306
120527,[],[0.627726845843936],17,0,73.64489511352596,25.328402775736862
120528,[],[0.145828416474745],17,0,55.78696008664761,49.70962179281172
120537,[],[0.163981190803109],17,1,85.63879238493094,6.872497956535631
120538,[],[0.230620339376909],17,0,42.89769599873602,38.86953186159323
120551,[],[0.103998133055589],17,1,31.201982975182567,15.227659003667709
120608,[],[0.148012774286249],17,1,12.57552300333561,12.437169028862215
120665,[],[0.441047550428966],17,1,14.861191959207769,0.7833950921296834
120668,[],[0.188866076143964],17,0,84.92013646776645,30.646583969706366
120723,[],[0.330288461640394],16,0,92.91101240433268,37.629426719102355
120736,[],[0.114986325380158],16,0,22.642964350657973,7.615263799152983
120765,[],[0.0925609531989923],16,0,37.015084452372506,21.667496957314384
120781,[],[0.137487048078602],16,0,99.43194699648733,34.74774138144095
120788,[],[0.235278351681249],16,0,92.17255188372684,0.0
120811,[],[0.288063118795734],16,1,59.782722793397134,63.78337455068869
120836,[],[0.723432099986947],16,0,72.58680964782829,2.8511287024657475
120843,[],[0.32476368803285],16,1,73.63170677763073,80.46626439328911
120916,[],[0.160825392588967],16,1,89.02209577616976,10.152648658367966
120924,[],[0.110780314229667],16,1,47.44505013034458,47.47660057667818
120931,[],[0.265859317285737],16,1,99.52787924900805,14.831652694866332
120950,[],[0.373539391702627],16,0,67.8502095061982,28.923749944924822
120952,[],[0.212548928447194],16,1,35.93227798575613,3.576332920412911
120956,[],[0.133129717646028],16,1,97.863563540261,46.309067693342676
120968,[],[0.110790230300858],16,1,64.06463295801419,24.31460150189693
120995,[],[0.696384048704798],15,1,74.82668536482113,24.051194089829877
121043,[],[0.624782089712271],15,0,82.28971878351834,63.121700297635414
121056,[],[0.133151665433231],15,1,28.87247586373025,1.321287849910669
121059,[],[0.0890869121820242],15,0,95.01208588974062,62.04544207289635
121063,[],[0.17976693913771],15,0,17.979644173167646,28.574190483065706
121075,[],[0.163100506577506],15,0,60.95710911266875,1.432743056427796
121089,[],[0.434616405705915],15,0,67.48097025484185,63.29250346261889
121115,[],[0.56535903310322],15,1,45.02600217249809,64.12534029249048
121125,[],[0.150721862021333],15,1,66.45975347108565,48.162428556812735
121162,[],[0.0849224387000654],15,0,41.860231330356946,48.004427527238974
121169,[],[0.257892353132556],15,0,77.31540895998829,74.81227361201748
121178,[],[0.553292860729557],15,1,69.64176185829874,36.45416287920109
121181,[],[0.0754184753266376],15,1,57.861761233935226,74.06593894501677
121183,[],[0.446553002089729],15,1,57.721843184700994,67.66703865928699
121189,[],[0.224883862873451],15,0,76.40382765502575,74.92737331323781
121195,[],[0.306881973720927],15,1,83.14527152609435,41.96031058592635
121211,[],[0.506002898440235],15,1,68.68014890297844,39.802935512165746
121213,[],[0.250345682399447],15,0,74.42961910153424,42.90459760808323
121215,[],[0.129901205843004],15,0,13.86386658249244,14.768253986169716
121226,[],[0.532853791568359],15,1,66.36047190235406,39.35980384097014
121234,[],[0.211813807766543],15,1,41.73743665960102,68.45206076371221
121248,[],[0.214360464842516],15,1,18.637457237148787,28.589881987270466
121252,[],[0.0841530957342339],15,0,57.588479415234,22.188863738595256
121316,[],[0.144198233481072],14,0,32.997269032773445,0.14669036237314448
121328,[],[0.733970621715689],14,0,75.91842627899365,24.898112884358966
121332,[],[0.169574951249879],14,1,13.54936358517124,8.679638490678311
121337,[],[0.183905310377265],14,0,88.76036532135358,34.183983143151785
121339,[],[0.105715410813825],14,1,26.60712006555033,13.61110282107803
121341,[],[0.116069414380348],14,1,98.34510032771449,43.875182598724265
121355,[],[0.709489837186714],14,1,76.61302368288065,15.171123232226918
121373,[],[0.462131327039583],14,1,14.62350198847389,1.5574197606872824
121377,[],[0.41329907946901],14,1,82.4870480849044,66.2206586386976
121387,[],[0.233230707240046],14,0,54.80526762448775,60.23971317152526
121430,[],[0.155553858169175],14,0,99.74659707204079,19.14853961794272
121432,[],[0.156330733961698],14,0,52.191220729344344,27.401547135862373
121468,[],[0.220972225058876],14,1,46.099082176700065,7.925290399037863
121480,[],[0.56470912963607],14,0,70.18062336705579,28.03777507962151
121482,[],[0.551410572349206],14,0,55.38119161114502,63.44972585863456
121489,[],[0.161554519848014],14,0,70.09390453109069,48.44476989642899
121506,[],[0.124322187786828],14,1,30.27587985861415,1.610401493189389
121527,[],[0.141976179239597],14,0,70.67164819712886,71.07148515656108
121531,[],[0.463429645060004],14,0,78.63496437728233,61.635337522988834
121532,[],[0.54456769739571],14,1,78.33863714794461,22.590792397676786
121563,[],[0.137032240551289],13,0,14.294287522739722,30.41733109294526
121572,[],[0.248745400023164],13,0,37.41367017030081,4.4876759756126345
121574,[],[0.21272700070176],13,1,67.99729777727288,31.865938937977475
121579,[],[0.598437435638028],13,1,70.48198211860358,31.618401147560007
121584,[],[0.668887465837011],13,0,80.66098067121612,9.417430086585401
121608,[],[0.133988733144156],13,1,46.849431898879175,9.295357967157283
121642,[],[0.0964309871520679],13,1,25.04621296838051,13.25080034636144
121643,[],[0.127765147540505],13,0,60.07354448877275,33.05653324293529
121648,[],[0.160672347006194],13,0,94.63278829432967,30.895150495734423
121685,[],[0.47559235096566],13,0,66.15651729162295,44.86359760561375
121689,[],[0.403025090884526],13,1,41.39697970146423,73.12038497992951
121693,[],[0.0581438397156084],13,1,20.36395236890334,37.91411306135456
121696,[],[0.471912938769189],13,1,76.14185279217915,60.19183783259879
121714,[],[0.590198950684983],13,1,73.5311487034699,20.82756510113134
121719,[],[0.140968641121571],13,1,76.16641619813261,51.04637417600851
121722,[],[0.350019021517123],13,1,80.50025540358594,72.50052978404344
121744,[],[0.154695354652629],13,1,49.685417569825354,3.087656908964006
121759,[],[0.163809953800328],13,1,99.999,87.07470655073197
121768,[],[0.382199936114538],13,1,14.504097515901167,11.71914859840178
121807,[],[0.0854361851303895],13,0,39.933849179900626,49.50759559000418
121814,[],[0.508774429175532],13,1,93.85474069236817,67.65964968804573
121835,[],[0.278230452084155],12,1,81.35303758766946,18.958028095880984
121846,[],[0.217005849864564],12,1,23.16889552435809,27.61319195019191
121851,[],[0.705873678528739],12,0,68.94991776384796,34.33935583733146
121867,[],[0.0986255586240566],12,0,56.52896654302404,72.8463389176802
121894,[],[0.401856392908184],12,1,90.06548337613886,65.50625086197341
121896,[],[0.192468560726402],12,0,82.60048323805053,22.44982329059739
121911,[],[0.178257927896682],12,1,76.18728855871979,40.15594368658477
121925,[],[0.331874876757393],12,0,92.69307547205189,40.36191233611684
121960,[],[0.110296131014918],12,1,47.83956512853361,10.43589792196963
121982,[],[0.341637698762932],12,0,70.76256834552345,40.6717113426438
122028,[],[0.151153516967574],12,0,90.27106506711037,11.230623395547099
122031,[],[0.163100468476551],12,1,43.253080097371296,33.23878701641678
122037,[],[0.577683971089085],12,0,90.15183073787655,68.57073508445738
122041,[],[0.110308954962897],12,1,42.85869468533916,28.242574404461298
122047,[],[0.144882767739637],12,1,96.61953564897976,11.805655675259612
122049,[],[0.457929334051522],12,1,62.98800273699134,45.41723121419705
122072,[],[0.0490916835231959],12,0,92.95566760568462,58.297817610831636
122081,[],[0.236394467363118],12,1,52.33468778745991,60.37326195416955
122085,[],[0.156964221572874],12,0,63.76007037013617,27.23150893036538
122107,[],[0.461607500525364],11,1,55.4499532364315,61.99740347902774
122116,[],[0.183401983962793],11,0,62.78936562090395,70.18148697034434
122120,[],[0.490603363412154],11,1,68.83605802355571,32.88333756408236
122125,[],[0.284989475765711],11,1,68.53324185047704,45.65307802214318
122134,[],[0.179476954555544],11,1,82.66558760735843,31.4093007168671
122135,[],[0.139224342233056],11,0,99.999,29.727496182504154
122138,[],[0.125775687192258],11,0,54.1798740527351,56.85985351096826
122150,[],[0.26227184209824],11,0,76.87941355422745,34.10022525557368
122158,[],[0.670416440490117],11,0,70.0672331141942,29.57295953327553
122159,[],[0.163479614353591],11,0,89.50364076793393,26.503192303455126
122168,[],[0.510329262470502],11,0,64.92329006092623,45.24490893851171
122170,[],[0.172670256161112],11,0,27.224744349769963,23.58427128664865
122192,[],[0.110688491672389],11,0,34.19066824781499,10.799974954787004
122194,[],[0.146473782505123],11,1,96.98792732896482,12.784556726326358
122205,[],[0.429226642236921],11,0,59.898427365953125,62.897946122422674
