idx,z,e,age,sex,x,y
739,[],[0.25544316987103],59,1,43.88497774802089,70.96710337918078
1770,[],[0.318875080964865],52,0,99.999,0.030687007670724853
3479,[],[0.136980616733965],43,0,97.79463263549991,5.345795521524948
3480,[],[0.103723880149357],43,1,40.45319552542428,76.1529193694606
3861,[],[0.12806145732769],41,1,64.16504838287715,73.36103085434465
4368,[],[0.098280971057318],39,1,89.07883490831577,75.82241576902359
4556,[],[0.208167450790259],39,1,59.88891200226173,64.70627850845285
5132,[],[0.210635027287788],36,0,67.54713387314717,58.550417587837245
5234,[],[0.0934788575182128],36,0,84.57247786158989,97.5553936994542
5805,[],[0.525413654379599],34,0,74.6958037969012,60.980775318669544
6062,[],[0.671268259968042],33,1,78.46982866236833,12.634615100810407
6338,[],[0.134297510129362],32,1,99.70481013418876,73.23495364889548
6586,[],[0.134283627540397],31,1,66.97177718048198,70.81917925006447
6631,[],[0.1150759630858],31,1,23.45881505328462,2.1513210256276465
6854,[],[0.130776479137676],30,1,70.54374824821095,54.796685456754346
7055,[],[0.516962004704157],29,1,74.0222111041837,29.067992331844263
7202,[],[0.168710106603306],28,0,64.87658046161334,27.862171100028064
7236,[],[0.161861722489855],28,1,99.33366206768962,11.97292303297446
7249,[],[0.136025614660911],28,1,48.58069791432778,20.1959591025347
7381,[],[0.106572152086789],28,1,11.487341613455582,29.927146120908617
7434,[],[0.609545014774801],28,1,74.46699188183362,2.6409853645057586
7641,[],[0.16332570971335],27,1,86.38192498027016,5.387322686555647
7770,[],[0.500076586607695],26,0,85.84506850057177,64.13648545231769
7941,[],[0.0833422271180431],26,1,22.007910023685955,38.542640093625735
8009,[],[0.305204630377269],26,1,65.50072105995223,0.0
8042,[],[0.168095105396876],26,0,88.58021991262532,14.776684895953256
8048,[],[0.463429645060004],25,1,78.96066243937399,61.29490110790969
8110,[],[0.526090495519565],25,0,70.78500318687819,61.17781676731653
8277,[],[0.261216816981515],25,0,72.65728908209651,77.55040295264156
8330,[],[0.0932541621966592],24,1,54.19576867093987,15.526399016998145
8379,[],[0.182510142110663],24,1,69.24909150990703,13.677539945832745
8382,[],[0.0989778976514822],24,0,99.30462339359902,49.54737483379039
8397,[],[0.185651660354786],24,1,40.27829012813946,30.960684614229347
8536,[],[0.231540268776769],24,0,64.57456869113045,4.541383643734294
8674,[],[0.502004332999271],23,1,79.26981767293928,10.23707439082645
8717,[],[0.211353018947422],23,1,57.723883447660945,69.51151887121186
8871,[],[0.449464228339212],23,0,42.736846207890814,69.70199429072576
8965,[],[0.574646429606871],22,0,71.72687364785102,0.0
8969,[],[0.127668480059842],22,1,43.66431895104683,22.958432627435958
8999,[],[0.159520422379943],22,0,94.3859395960733,31.176609236315453
9073,[],[0.206829477117325],22,1,99.00917126572257,83.32835574389082
9090,[],[0.121308387515673],22,1,57.64617632871852,0.9556212457939612
9095,[],[0.649334198633591],22,1,65.6685636996962,43.22730107804571
9151,[],[0.400776273996497],22,0,58.33264345748585,67.13896284800502
9238,[],[0.139216024318327],21,0,95.09551542214862,28.528001375637555
9248,[],[0.150198036251274],21,0,66.02729610447528,52.52114390351843
9314,[],[0.221485541216306],21,0,44.63998244278729,22.81685481600395
9356,[],[0.143832040440397],21,0,54.48558564635294,50.734846557964836
9367,[],[0.4453037301189],21,0,77.35106377195311,61.194534701468726
9405,[],[0.181765229745045],21,0,98.73101196512877,13.425952873224128
9433,[],[0.544031375256585],20,0,92.61830534100284,69.71156484562344
9436,[],[0.670416440490117],20,1,70.39579246152158,29.27339029731536
9457,[],[0.718169399630757],20,0,78.99938527757456,8.92096768827182
9466,[],[0.168604991724201],20,0,12.8667738576078,27.25742946555501
9518,[],[0.105888227815582],20,0,35.268355378492174,11.118585885187724
9649,[],[0.137487048078602],20,0,99.87666614834757,34.19899981366033
9668,[],[0.857982361200689],20,0,76.00222010556189,18.251454598308293
9679,[],[0.176210282562488],20,0,44.46380280764226,63.41233888298743
9692,[],[0.370504806616386],20,0,15.707242972742911,13.581693792865451
9693,[],[0.472785160117836],20,0,51.84033255358457,61.75586992099906
9694,[],[0.285881795070433],20,1,13.837955468667136,10.481742438358415
9700,[],[0.492383784126819],19,0,79.25896092457647,11.772742646349641
9733,[],[0.602484274988918],19,0,73.12319080856894,24.33827882740238
9738,[],[0.0433191092863257],19,1,38.91044911672597,64.42459895200696
9842,[],[0.401856392908184],19,1,90.22779028301036,65.02711036546052
9851,[],[0.131841147535405],19,1,95.82556905495018,51.17041028533954
9879,[],[0.19611288581299],19,0,66.96504728084534,11.321244189808956
9908,[],[0.186282795976153],19,1,50.17693439360008,72.64749103811076
9911,[],[0.760050826586841],19,0,73.93711147944789,28.179459303966617
9932,[],[0.311177125925158],19,1,80.53234513492045,74.84488067239698
9949,[],[0.0854361851303895],19,0,39.289341671477935,49.485655783662494
9950,[],[0.171372018509893],19,1,87.85299924978007,10.037198452541974
10004,[],[0.422066205944455],18,1,68.80601242337941,1.4691334067225528
10030,[],[0.147238471796504],18,1,74.9443175998853,71.2759934974579
10057,[],[0.462131327039583],18,1,14.844909499523313,1.3932889442240204
10095,[],[0.502237890067152],18,0,64.17565233102313,59.335414821855636
10100,[],[0.303040859285652],18,1,62.08132817373133,42.308080692604634
10116,[],[0.106120354906997],18,0,44.12734258893861,12.366474881981448
10123,[],[0.158734575003183],18,1,49.03267234208456,22.72475834546135
10132,[],[0.692034198412439],18,1,77.5241964276432,17.595418034962936
