idx,z,e,age,sex,x,y
52717,[],[0.480343422173499],65,1,59.69929951278357,61.892995751869634
53023,[],[0.286128213294256],64,1,95.32173431886046,1.8290205145768392
57900,[],[0.695923168242463],45,0,63.805960994701714,1.1092254207018297
57932,[],[0.110116811102908],45,0,58.72599399363892,37.708880992774716
58466,[],[0.163878041695148],43,0,75.97202345378437,53.764182104592415
59121,[],[0.0690883030456643],41,0,81.40806185059296,97.16832069828826
59783,[],[0.140530159593],39,1,45.6535433421532,37.49477819588844
60399,[],[0.453513224412517],36,0,99.09971823827355,59.86982979829644
61436,[],[0.12787961769237],32,1,59.44932682824839,34.74972461739059
61532,[],[0.228864901875137],32,1,54.681262189625706,66.79111288181825
61651,[],[0.408376707707187],32,1,40.01634808073617,73.63869315665832
61783,[],[0.0677471647423874],31,0,36.797069134058155,46.86660484406328
61877,[],[0.225062619456888],31,0,34.511326973009766,2.983381027034785
62055,[],[0.099781816043279],30,1,51.894092732634014,18.42812210501799
62283,[],[0.49513446351919],29,0,70.36563387299464,3.8534514335406347
62526,[],[0.154392347878452],28,0,53.72013973451766,46.24096365357603
62673,[],[0.103172691196208],28,0,84.68160274323779,58.12038913274762
62696,[],[0.260757477077713],28,0,84.51830750818951,0.0
62760,[],[0.20389534132919],28,1,70.24190934909417,20.884954317531978
62762,[],[0.110411476744588],28,0,35.840500858393966,23.100373718978545
63149,[],[0.0971002538668387],26,1,53.15711784918952,9.54020230908077
63221,[],[0.318875080964865],26,1,99.38209782830852,0.0
63368,[],[0.273969449646783],25,0,75.70839635113067,35.14528104044382
63430,[],[0.149417043918465],25,0,92.56529983908837,32.386933014362285
63544,[],[0.510329262470502],25,0,64.48113968215672,45.94660518255309
63658,[],[0.17418149184305],24,0,12.373860544050963,10.893062495935625
63719,[],[0.227880297592563],24,1,40.760947540940705,25.5888857765754
63763,[],[0.733970621715689],24,0,75.49904299704896,24.256329385286236
63787,[],[0.18327376740311],24,0,90.01952834910664,15.672386869843258
63794,[],[0.122227174928707],24,0,89.97541805049583,85.84752693656885
63902,[],[0.157210695162148],23,1,87.510266883057,21.607178952132703
63914,[],[0.118162702426098],23,1,95.4725636922216,66.62449198403888
63945,[],[0.518137033392296],23,1,65.59079894593016,2.1884716488039735
63988,[],[0.1325278736221],23,1,45.28254757895365,2.7159259474150836
64085,[],[0.77214677247549],23,0,72.091730263083,0.689109487839594
64135,[],[0.456890272788426],23,1,69.76573849832745,3.128366612133653
64211,[],[0.106818283809291],23,1,10.669542072977602,24.409948829062408
64286,[],[0.517831695315938],22,1,81.27028343435535,65.42041572181266
64339,[],[0.156283987959598],22,0,98.25250255551184,70.74206085534199
64340,[],[0.580650084591984],22,1,66.05815766768066,60.45328441961932
