"","time","stat","fact","wdim","rarify_n","rarify_nit"
"1",185.622035741806,"pi",3,7,2,5
"2",1523.1452999115,"Ho",3,7,2,5
"3",1111.13370013237,"biallelic_richness",3,7,2,5
