"time","wsize","fact","wdim","ncell","it"
1.57192087173462,9,0,3,2500,1
0.468344926834106,9,2,3,625,1
0.316907167434692,9,3,3,289,1
0.265285015106201,9,4,3,169,1
0.229965448379517,9,5,3,100,1
1.3207311630249,9,0,3,2500,2
0.473808765411377,9,2,3,625,2
0.348061323165894,9,3,3,289,2
0.276064872741699,9,4,3,169,2
0.260113716125488,9,5,3,100,2
1.40171122550964,9,0,3,2500,3
0.514217138290405,9,2,3,625,3
0.341734170913696,9,3,3,289,3
0.279511213302612,9,4,3,169,3
0.261886596679688,9,5,3,100,3
1.45716500282288,9,0,3,2500,4
0.524886846542358,9,2,3,625,4
0.342553377151489,9,3,3,289,4
0.301816701889038,9,4,3,169,4
0.251098155975342,9,5,3,100,4
1.4565281867981,9,0,3,2500,5
0.521231412887573,9,2,3,625,5
0.348752021789551,9,3,3,289,5
0.339206218719482,9,4,3,169,5
0.268082141876221,9,5,3,100,5
1.53135442733765,9,0,3,2500,6
0.54146409034729,9,2,3,625,6
0.380779027938843,9,3,3,289,6
0.320123672485352,9,4,3,169,6
0.269271612167358,9,5,3,100,6
1.57881045341492,9,0,3,2500,7
0.554870128631592,9,2,3,625,7
0.390542268753052,9,3,3,289,7
0.329273700714111,9,4,3,169,7
0.277491331100464,9,5,3,100,7
1.56709361076355,9,0,3,2500,8
0.554829359054565,9,2,3,625,8
0.38873028755188,9,3,3,289,8
0.364418029785156,9,4,3,169,8
0.288412570953369,9,5,3,100,8
1.63290643692017,9,0,3,2500,9
0.581966161727905,9,2,3,625,9
0.408026456832886,9,3,3,289,9
0.347511768341064,9,4,3,169,9
0.28794264793396,9,5,3,100,9
1.73357582092285,9,0,3,2500,10
0.467712163925171,9,2,3,625,10
0.316532373428345,9,3,3,289,10
0.265867233276367,9,4,3,169,10
0.230231761932373,9,5,3,100,10
